unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,0.0,19,9,23,1,122,4.0,4,42,122,540,7,12.0,1303,10,1332,2218,January,2023
CMP,1.0,10,5,2,0,29,3.0,6,11,29,117,1,2.0,233,2,238,451,January,2023
KMP,,0,1,0,0,24,,0,2,6,30,2,0.0,87,1,90,155,January,2023
RMP,0.0,5,2,0,0,16,1.0,0,2,8,49,1,5.0,172,0,178,261,January,2023
BMP,1.0,0,0,0,0,15,0.0,1,5,13,38,0,0.0,74,0,74,147,January,2023
SMP,0.0,2,0,5,0,10,0.0,0,3,11,55,0,0.0,47,17,64,150,January,2023
RPMP,0.0,0,0,0,0,12,0.0,0,0,18,46,1,0.0,29,0,30,106,January,2023
GMP,1.0,2,4,4,0,26,2.0,3,1,6,76,1,1.0,78,0,80,205,January,2023
Dhaka Range,12.0,25,48,21,0,221,5.0,9,30,117,879,17,0.0,961,8,986,2353,January,2023
Mymensingh Range,0.0,2,14,7,0,108,1.0,0,7,44,478,3,7.0,300,37,347,1008,January,2023
Chittagong Range,6.0,16,43,5,0,134,6.0,8,36,100,693,37,2.0,1082,50,1171,2218,January,2023
Sylhet Range,0.0,5,15,5,0,45,0.0,3,1,51,334,0,,190,36,227,686,January,2023
Khulna Range,3.0,4,15,4,0,121,2.0,0,10,76,587,6,1.0,686,18,711,1533,January,2023
Barishal Range,2.0,2,13,3,0,78,1.0,2,8,26,326,2,0.0,248,1,251,712,January,2023
Rajshahi Range,0.0,11,22,4,0,146,2.0,0,12,78,582,29,0.0,1062,30,1121,1978,January,2023
Rangpur Range,0.0,3,23,1,0,157,3.0,0,21,64,695,0,0.0,389,11,400,1367,January,2023
Railway Range,0.0,1,0,0,0,1,0.0,0,0,15,9,3,0.0,27,3,33,59,January,2023
Total,27.0,107,214,84,1,1265,31.0,36,191,784,5534,110,31.0,6968,224,7333,15607,January,2023
