unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,4.0,29,21.0,4,1.0,108,14.0,5,42,101,401,34.0,6,564,18.0,622,1352,January,2026
CMP,0.0,6,6.0,6,0.0,39,2.0,1,14,33,118,4.0,0,186,7.0,197,422,January,2026
KMP,0.0,4,1.0,2,0.0,7,1.0,0,0,17,25,3.0,0,54,,58,115,January,2026
RMP,0.0,2,2.0,0,0.0,7,1.0,1,2,7,40,,1,103,0.0,105,167,January,2026
BMP,,0,,0,,18,5.0,0,3,4,43,3.0,0,31,0.0,34,109,January,2026
SMP,,2,,8,0.0,7,0.0,3,0,7,41,0.0,0,55,27.0,82,152,January,2026
RPMP,0.0,0,2.0,0,,7,0.0,2,1,2,23,,0,36,0.0,36,73,January,2026
GMP,3.0,9,0.0,1,0.0,26,8.0,2,5,15,67,2.0,0,122,0.0,124,260,January,2026
Dhaka Range,12.0,42,73.0,7,0.0,252,10.0,11,42,123,1065,52.0,15,1097,7.0,1171,2808,January,2026
Mymensingh Range,0.0,6,17.0,4,0.0,69,1.0,4,4,49,367,3.0,1,252,34.0,290,811,January,2026
Chittagong Range,14.0,19,56.0,9,0.0,165,23.0,3,60,134,972,83.0,1,817,33.0,934,2389,January,2026
Sylhet Range,3.0,7,11.0,3,0.0,46,2.0,1,0,51,362,6.0,1,169,55.0,231,717,January,2026
Khulna Range,1.0,9,35.0,7,0.0,108,6.0,2,28,83,462,36.0,7,459,8.0,510,1251,January,2026
Barishal Range,3.0,4,20.0,3,,113,2.0,0,16,32,407,9.0,1,206,0.0,216,816,January,2026
Rajshahi Range,8.0,15,24.0,1,0.0,142,4.0,3,7,85,553,30.0,2,447,9.0,488,1330,January,2026
Rangpur Range,2.0,7,15.0,1,0.0,167,7.0,4,12,72,631,3.0,0,291,8.0,302,1220,January,2026
Railway Range,0.0,2,2.0,1,0.0,0,,0,0,13,12,0.0,0,33,2.0,35,66,January,2026
Total,52.0,163,287.0,57,1.0,1281,87.0,42,236,828,5589,269.0,35,4922,209.0,5435,14058,January,2026
