unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year
DMP,,13.0,20,10.0,0.0,222,4.0,2.0,65,89,443,8,1.0,978,5,992,1861,August,2020
CMP,0.0,4.0,3,10.0,0.0,105,0.0,,13,13,121,20,0.0,149,2,171,441,August,2020
KMP,0.0,,4,1.0,0.0,9,1.0,1.0,4,9,29,2,0.0,119,0,121,180,August,2020
RMP,0.0,5.0,1,0.0,0.0,27,,0.0,9,10,58,0,0.0,157,14,171,282,August,2020
BMP,0.0,1.0,0,3.0,0.0,16,0.0,,6,12,38,3,0.0,43,0,46,122,August,2020
SMP,1.0,3.0,2,6.0,0.0,17,0.0,,3,9,61,2,0.0,48,4,54,157,August,2020
RPMP,0.0,,0,3.0,0.0,26,6.0,,0,15,68,0,0.0,37,0,37,156,August,2020
GMP,,,6,3.0,0.0,57,5.0,,5,16,89,2,0.0,118,0,120,303,August,2020
Dhaka Range,12.0,17.0,76,,,318,,4.0,32,59,1036,15,,712,12,743,2320,August,2020
Mymensingh Range,0.0,2.0,21,10.0,0.0,195,1.0,,11,28,590,2,0.0,264,7,273,1131,August,2020
Chittagong Range,6.0,10.0,58,10.0,0.0,233,9.0,,53,85,1015,14,,748,13,776,2260,August,2020
Sylhet Range,2.0,3.0,22,2.0,0.0,88,0.0,3.0,7,42,410,3,0.0,210,32,245,824,August,2020
Khulna Range,3.0,8.0,29,2.0,0.0,212,5.0,2.0,15,63,613,4,,517,28,550,1502,August,2020
Barishal Range,1.0,3.0,13,9.0,,141,1.0,2.0,13,21,429,3,0.0,210,0,213,846,August,2020
Rajshahi Range,1.0,9.0,33,7.0,0.0,342,3.0,3.0,9,44,584,12,4.0,938,94,1048,2083,August,2020
Rangpur Range,0.0,3.0,33,4.0,0.0,304,2.0,0.0,13,68,901,0,0.0,314,33,347,1675,August,2020
Railway Range,,0.0,1,0.0,0.0,1,0.0,0.0,0,1,4,0,0.0,13,2,15,22,August,2020
Total,28.0,84.0,322,91.0,1.0,2313,49.0,24.0,258,584,6489,90,11.0,5575,246,5922,16165,August,2020
